ligne_num,couleur,origine,destination,jours_validite,course_num,heure_ref_depart_ligne,commune,arret,arret_norm,heure_passage,remarque
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,SAINT-TROJAN-LES-BAINS,Hôtel Les Cleunes Oléron,saint trojan les bains|hotel les cleunes oleron,13:06,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,SAINT-TROJAN-LES-BAINS,Hôtel Les Cleunes Oléron,saint trojan les bains|hotel les cleunes oleron,14:36,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,SAINT-TROJAN-LES-BAINS,Hôtel Les Cleunes Oléron,saint trojan les bains|hotel les cleunes oleron,16:06,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,SAINT-TROJAN-LES-BAINS,Hôtel Les Cleunes Oléron,saint trojan les bains|hotel les cleunes oleron,17:36,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,SAINT-TROJAN-LES-BAINS,Marché,saint trojan les bains|marche,08:37,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,SAINT-TROJAN-LES-BAINS,Marché,saint trojan les bains|marche,10:07,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,SAINT-TROJAN-LES-BAINS,Marché,saint trojan les bains|marche,11:37,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,SAINT-TROJAN-LES-BAINS,Marché,saint trojan les bains|marche,13:07,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,SAINT-TROJAN-LES-BAINS,Marché,saint trojan les bains|marche,14:37,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,SAINT-TROJAN-LES-BAINS,Marché,saint trojan les bains|marche,16:07,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,SAINT-TROJAN-LES-BAINS,Marché,saint trojan les bains|marche,17:37,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,SAINT-TROJAN-LES-BAINS,Le Port,saint trojan les bains|le port,08:38,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,SAINT-TROJAN-LES-BAINS,Le Port,saint trojan les bains|le port,10:08,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,SAINT-TROJAN-LES-BAINS,Le Port,saint trojan les bains|le port,11:38,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,SAINT-TROJAN-LES-BAINS,Le Port,saint trojan les bains|le port,13:08,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,SAINT-TROJAN-LES-BAINS,Le Port,saint trojan les bains|le port,14:38,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,SAINT-TROJAN-LES-BAINS,Le Port,saint trojan les bains|le port,16:08,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,SAINT-TROJAN-LES-BAINS,Le Port,saint trojan les bains|le port,17:38,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,LE GRAND-VILLAGE-PLAGE,Port des Salines,le grand village plage|port des salines,08:43,
